areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2021-06-02,1792,4499878
overview,United Kingdom,K02000001,2021-06-01,4844,4498086
overview,United Kingdom,K02000001,2021-05-31,3704,4493242
overview,United Kingdom,K02000001,2021-05-30,3056,4489538
overview,United Kingdom,K02000001,2021-05-29,2890,4486482
overview,United Kingdom,K02000001,2021-05-28,3467,4483592
overview,United Kingdom,K02000001,2021-05-27,3639,4480125
overview,United Kingdom,K02000001,2021-05-26,3787,4476486
overview,United Kingdom,K02000001,2021-05-25,3277,4472699
overview,United Kingdom,K02000001,2021-05-24,3219,4469422
overview,United Kingdom,K02000001,2021-05-23,2231,4466203
overview,United Kingdom,K02000001,2021-05-22,1934,4463972
overview,United Kingdom,K02000001,2021-05-21,2285,4462038
overview,United Kingdom,K02000001,2021-05-20,2426,4459753
overview,United Kingdom,K02000001,2021-05-19,2710,4457327
overview,United Kingdom,K02000001,2021-05-18,2700,4454617
overview,United Kingdom,K02000001,2021-05-17,2758,4451917
overview,United Kingdom,K02000001,2021-05-16,1852,4449159
overview,United Kingdom,K02000001,2021-05-15,1577,4447307
overview,United Kingdom,K02000001,2021-05-14,1847,4445730
overview,United Kingdom,K02000001,2021-05-13,2090,4443883
overview,United Kingdom,K02000001,2021-05-12,2228,4441793
overview,United Kingdom,K02000001,2021-05-11,2196,4439565
overview,United Kingdom,K02000001,2021-05-10,2644,4437369
overview,United Kingdom,K02000001,2021-05-09,2167,4434725
overview,United Kingdom,K02000001,2021-05-08,1511,4432558
overview,United Kingdom,K02000001,2021-05-07,1864,4431047
overview,United Kingdom,K02000001,2021-05-06,2154,4429183
overview,United Kingdom,K02000001,2021-05-05,2390,4427029
overview,United Kingdom,K02000001,2021-05-04,2399,4424639
overview,United Kingdom,K02000001,2021-05-03,1972,4422240
overview,United Kingdom,K02000001,2021-05-02,1419,4420268
overview,United Kingdom,K02000001,2021-05-01,1352,4418849
overview,United Kingdom,K02000001,2021-04-30,1698,4417497
overview,United Kingdom,K02000001,2021-04-29,2084,4415799
overview,United Kingdom,K02000001,2021-04-28,2362,4413715
overview,United Kingdom,K02000001,2021-04-27,2059,4411353
overview,United Kingdom,K02000001,2021-04-26,2439,4409294
overview,United Kingdom,K02000001,2021-04-25,1993,4406855
overview,United Kingdom,K02000001,2021-04-24,1464,4404862
overview,United Kingdom,K02000001,2021-04-23,1887,4403398
overview,United Kingdom,K02000001,2021-04-22,2245,4401511
overview,United Kingdom,K02000001,2021-04-21,2536,4399266
overview,United Kingdom,K02000001,2021-04-20,2362,4396730
overview,United Kingdom,K02000001,2021-04-19,2597,4394368
overview,United Kingdom,K02000001,2021-04-18,2434,4391771
overview,United Kingdom,K02000001,2021-04-17,1633,4389337
overview,United Kingdom,K02000001,2021-04-16,2189,4387704
overview,United Kingdom,K02000001,2021-04-15,2183,4385515
overview,United Kingdom,K02000001,2021-04-14,2394,4383332
overview,United Kingdom,K02000001,2021-04-13,2332,4380938
overview,United Kingdom,K02000001,2021-04-12,2702,4378606
overview,United Kingdom,K02000001,2021-04-11,2250,4375904
overview,United Kingdom,K02000001,2021-04-10,2257,4373654
overview,United Kingdom,K02000001,2021-04-09,2782,4371397
overview,United Kingdom,K02000001,2021-04-08,2980,4368615
overview,United Kingdom,K02000001,2021-04-07,3075,4365635
overview,United Kingdom,K02000001,2021-04-06,3113,4362560
overview,United Kingdom,K02000001,2021-04-05,2614,4359447
overview,United Kingdom,K02000001,2021-04-04,2295,4356833
overview,United Kingdom,K02000001,2021-04-03,2404,4354538
overview,United Kingdom,K02000001,2021-04-02,2624,4352134
overview,United Kingdom,K02000001,2021-04-01,3471,4349510
overview,United Kingdom,K02000001,2021-03-31,3764,4346039
overview,United Kingdom,K02000001,2021-03-30,3594,4342275
overview,United Kingdom,K02000001,2021-03-29,3979,4338681
overview,United Kingdom,K02000001,2021-03-28,4649,4334702
overview,United Kingdom,K02000001,2021-03-27,3536,4330053
overview,United Kingdom,K02000001,2021-03-26,4385,4326517
overview,United Kingdom,K02000001,2021-03-25,5394,4322132
overview,United Kingdom,K02000001,2021-03-24,6006,4316738
overview,United Kingdom,K02000001,2021-03-23,5253,4310732
overview,United Kingdom,K02000001,2021-03-22,6199,4305479
overview,United Kingdom,K02000001,2021-03-21,5233,4299280
overview,United Kingdom,K02000001,2021-03-20,4099,4294047
overview,United Kingdom,K02000001,2021-03-19,4995,4289948
overview,United Kingdom,K02000001,2021-03-18,5472,4284953
overview,United Kingdom,K02000001,2021-03-17,5776,4279481
overview,United Kingdom,K02000001,2021-03-16,5673,4273705
overview,United Kingdom,K02000001,2021-03-15,6504,4268032
overview,United Kingdom,K02000001,2021-03-14,4301,4261528
overview,United Kingdom,K02000001,2021-03-13,4239,4257227
overview,United Kingdom,K02000001,2021-03-12,5586,4252988
overview,United Kingdom,K02000001,2021-03-11,5769,4247402
overview,United Kingdom,K02000001,2021-03-10,6034,4241633
overview,United Kingdom,K02000001,2021-03-09,6219,4235599
overview,United Kingdom,K02000001,2021-03-08,6639,4229380
overview,United Kingdom,K02000001,2021-03-07,4272,4222741
overview,United Kingdom,K02000001,2021-03-06,4494,4218469
overview,United Kingdom,K02000001,2021-03-05,5297,4213975
overview,United Kingdom,K02000001,2021-03-04,5718,4208678
overview,United Kingdom,K02000001,2021-03-03,5967,4202960
overview,United Kingdom,K02000001,2021-03-02,6651,4196993
overview,United Kingdom,K02000001,2021-03-01,6874,4190342
overview,United Kingdom,K02000001,2021-02-28,4710,4183468
overview,United Kingdom,K02000001,2021-02-27,4815,4178758
overview,United Kingdom,K02000001,2021-02-26,6570,4173943
overview,United Kingdom,K02000001,2021-02-25,7710,4167373
overview,United Kingdom,K02000001,2021-02-24,8534,4159663
overview,United Kingdom,K02000001,2021-02-23,9383,4151129
overview,United Kingdom,K02000001,2021-02-22,11241,4141746
overview,United Kingdom,K02000001,2021-02-21,7870,4130505
overview,United Kingdom,K02000001,2021-02-20,8051,4122635
overview,United Kingdom,K02000001,2021-02-19,10379,4114584
overview,United Kingdom,K02000001,2021-02-18,11402,4104205
overview,United Kingdom,K02000001,2021-02-17,11561,4092803
overview,United Kingdom,K02000001,2021-02-16,12476,4081242
overview,United Kingdom,K02000001,2021-02-15,14261,4068766
overview,United Kingdom,K02000001,2021-02-14,8752,4054505
overview,United Kingdom,K02000001,2021-02-13,8756,4045753
overview,United Kingdom,K02000001,2021-02-12,12152,4036997
overview,United Kingdom,K02000001,2021-02-11,12739,4024845
overview,United Kingdom,K02000001,2021-02-10,13479,4012106
overview,United Kingdom,K02000001,2021-02-09,13793,3998627
overview,United Kingdom,K02000001,2021-02-08,15695,3984834
overview,United Kingdom,K02000001,2021-02-07,11358,3969139
overview,United Kingdom,K02000001,2021-02-06,11969,3957781
overview,United Kingdom,K02000001,2021-02-05,15841,3945812
overview,United Kingdom,K02000001,2021-02-04,17950,3929971
overview,United Kingdom,K02000001,2021-02-03,19394,3912021
overview,United Kingdom,K02000001,2021-02-02,19752,3892627
overview,United Kingdom,K02000001,2021-02-01,22339,3872875
overview,United Kingdom,K02000001,2021-01-31,15370,3850536
overview,United Kingdom,K02000001,2021-01-30,16668,3835166
overview,United Kingdom,K02000001,2021-01-29,21767,3818498
overview,United Kingdom,K02000001,2021-01-28,24140,3796731
overview,United Kingdom,K02000001,2021-01-27,25667,3772591
overview,United Kingdom,K02000001,2021-01-26,26966,3746924
overview,United Kingdom,K02000001,2021-01-25,29899,3719958
overview,United Kingdom,K02000001,2021-01-24,17159,3690059
overview,United Kingdom,K02000001,2021-01-23,21823,3672900
overview,United Kingdom,K02000001,2021-01-22,29531,3651077
overview,United Kingdom,K02000001,2021-01-21,31664,3621546
overview,United Kingdom,K02000001,2021-01-20,35093,3589882
overview,United Kingdom,K02000001,2021-01-19,39465,3554789
overview,United Kingdom,K02000001,2021-01-18,44764,3515324
overview,United Kingdom,K02000001,2021-01-17,28840,3470560
overview,United Kingdom,K02000001,2021-01-16,30524,3441720
overview,United Kingdom,K02000001,2021-01-15,40396,3411196
overview,United Kingdom,K02000001,2021-01-14,42363,3370800
overview,United Kingdom,K02000001,2021-01-13,45380,3328437
overview,United Kingdom,K02000001,2021-01-12,49373,3283057
overview,United Kingdom,K02000001,2021-01-11,57096,3233684
overview,United Kingdom,K02000001,2021-01-10,36346,3176588
overview,United Kingdom,K02000001,2021-01-09,39079,3140242
overview,United Kingdom,K02000001,2021-01-08,47002,3101163
overview,United Kingdom,K02000001,2021-01-07,51927,3054161
overview,United Kingdom,K02000001,2021-01-06,57385,3002234
overview,United Kingdom,K02000001,2021-01-05,65100,2944849
overview,United Kingdom,K02000001,2021-01-04,76160,2879749
overview,United Kingdom,K02000001,2021-01-03,55174,2803589
overview,United Kingdom,K02000001,2021-01-02,60395,2748415
overview,United Kingdom,K02000001,2021-01-01,31846,2688020
overview,United Kingdom,K02000001,2020-12-31,52797,2656174
overview,United Kingdom,K02000001,2020-12-30,70792,2603377
overview,United Kingdom,K02000001,2020-12-29,81524,2532585
overview,United Kingdom,K02000001,2020-12-28,45603,2451061
overview,United Kingdom,K02000001,2020-12-27,47728,2405458
overview,United Kingdom,K02000001,2020-12-26,40374,2357730
overview,United Kingdom,K02000001,2020-12-25,14179,2317356
overview,United Kingdom,K02000001,2020-12-24,31822,2303177
overview,United Kingdom,K02000001,2020-12-23,42189,2271355
overview,United Kingdom,K02000001,2020-12-22,45660,2229166
overview,United Kingdom,K02000001,2020-12-21,47383,2183506
overview,United Kingdom,K02000001,2020-12-20,32461,2136123
overview,United Kingdom,K02000001,2020-12-19,25146,2103662
overview,United Kingdom,K02000001,2020-12-18,35835,2078516
overview,United Kingdom,K02000001,2020-12-17,33885,2042681
overview,United Kingdom,K02000001,2020-12-16,34934,2008796
overview,United Kingdom,K02000001,2020-12-15,33848,1973862
overview,United Kingdom,K02000001,2020-12-14,34726,1940014
overview,United Kingdom,K02000001,2020-12-13,21982,1905288
overview,United Kingdom,K02000001,2020-12-12,19360,1883306
overview,United Kingdom,K02000001,2020-12-11,24078,1863946
overview,United Kingdom,K02000001,2020-12-10,22616,1839868
overview,United Kingdom,K02000001,2020-12-09,21617,1817252
overview,United Kingdom,K02000001,2020-12-08,20788,1795635
overview,United Kingdom,K02000001,2020-12-07,21337,1774847
overview,United Kingdom,K02000001,2020-12-06,13580,1753510
overview,United Kingdom,K02000001,2020-12-05,12740,1739930
overview,United Kingdom,K02000001,2020-12-04,15661,1727190
overview,United Kingdom,K02000001,2020-12-03,15639,1711529
overview,United Kingdom,K02000001,2020-12-02,16469,1695890
overview,United Kingdom,K02000001,2020-12-01,16456,1679421
overview,United Kingdom,K02000001,2020-11-30,18017,1662965
overview,United Kingdom,K02000001,2020-11-29,10685,1644948
overview,United Kingdom,K02000001,2020-11-28,10966,1634263
overview,United Kingdom,K02000001,2020-11-27,14368,1623297
overview,United Kingdom,K02000001,2020-11-26,14581,1608929
overview,United Kingdom,K02000001,2020-11-25,16618,1594348
overview,United Kingdom,K02000001,2020-11-24,16455,1577730
overview,United Kingdom,K02000001,2020-11-23,18775,1561275
overview,United Kingdom,K02000001,2020-11-22,11735,1542500
overview,United Kingdom,K02000001,2020-11-21,12353,1530765
