Log odds of loneliness,RGN19NM
-4.373305369357275,South East
-4.312903636956787,South East
-4.311309740542955,South East
-4.305191044841268,South East
-4.289159222939558,South East
-4.2736875219820165,South East
-4.2713640862809426,South East
-4.267283633895433,South East
-4.2666246580407945,East Midlands
-4.265300698932151,South East
-4.254817815146023,South East
-4.253012604398874,South East
-4.253006133099534,South East
-4.248781658952188,South East
-4.244811197806235,South East
-4.242625627227675,South East
-4.241194848484836,South West
-4.240811828628704,South West
-4.232693745713731,East Midlands
-4.226784508253029,East of England
-4.224039887496482,South East
-4.221137713174541,East of England
-4.2167013123793975,East Midlands
-4.215543169876776,West Midlands
-4.214212346868772,South East
-4.213072466897781,South East
-4.2120330938783885,South East
-4.210991689156089,South East
-4.210144583443421,East of England
-4.207160908805972,South West
-4.204363860847306,South East
-4.204161515209038,East of England
-4.202770842023373,East of England
-4.201385445870522,South East
-4.197609434786905,South East
-4.19738478623514,South East
-4.197341442361,East of England
-4.196427631222668,South West
-4.196248271383246,South East
-4.195688602739291,South East
-4.191051249068248,North West
-4.187521283511368,South West
-4.18623623594229,Yorkshire and The Humber
-4.186188551574291,East of England
-4.182773962441836,South East
-4.18235193330449,South East
-4.181747474715751,East Midlands
-4.1798633479090475,South East
-4.174268469000875,South East
-4.173415044023673,South East
-4.172879691022725,West Midlands
-4.172323654712744,North West
-4.1717094054267605,Yorkshire and The Humber
-4.171693586115599,West Midlands
-4.169577004627743,South West
-4.166940366590466,East of England
-4.164827146965474,South East
-4.164716377376323,East of England
-4.162795438259639,Yorkshire and The Humber
-4.162571488082156,East of England
-4.162125237324222,South West
-4.1574842605858855,North West
-4.156372090761385,South East
-4.152071203954762,East of England
-4.152056175138234,South East
-4.150519016584827,South West
-4.150104027591712,West Midlands
-4.147779462671745,East of England
-4.146365149288241,East Midlands
-4.1449425723635125,East Midlands
-4.14451416981895,South West
-4.143481308227016,South West
-4.143347139696918,West Midlands
-4.141651403671577,South West
-4.141313406621783,Yorkshire and The Humber
-4.1399619115082,East of England
-4.138414369328321,Yorkshire and The Humber
-4.135901456558949,East of England
-4.128223915866667,South West
-4.126262021186824,South East
-4.126205595988989,West Midlands
-4.123673293922449,South East
-4.123110528465058,South West
-4.121941665738299,East Midlands
-4.1213273837169435,East Midlands
-4.120538074256087,East of England
-4.115851690312122,West Midlands
-4.114192319302304,South West
-4.112996606854434,West Midlands
-4.1106527885674105,East of England
-4.107501662599332,East Midlands
-4.106937398256011,South East
-4.106062487127833,East Midlands
-4.105755887620029,West Midlands
-4.105617001369497,South West
-4.104991385211745,South West
-4.103561856242266,East of England
-4.101233759873783,East Midlands
-4.097674629696458,West Midlands
-4.097649582666024,South West
-4.097422313309909,South East
-4.097306464682898,East of England
-4.097240077351639,South East
-4.097108506598885,South East
-4.096978389721,South East
-4.096029634417706,East Midlands
-4.0945257689595875,South East
-4.09341385073778,East of England
-4.091570841216884,North West
-4.089074694184627,East of England
-4.088558048022713,West Midlands
-4.08495732353625,East of England
-4.08441708242494,South East
-4.08373950880019,London
-4.081876402496658,East of England
-4.0810442433300125,London
-4.080867989070364,Yorkshire and The Humber
-4.077006655144892,East Midlands
-4.073530259810842,South West
-4.073036489788821,South East
-4.071140902834245,East of England
-4.070549112285201,East of England
-4.066604134411818,East Midlands
-4.06288834763572,South East
-4.056401568092386,South West
-4.05086953442477,East Midlands
-4.0491353379744215,South West
-4.04633359842741,East of England
-4.043214136602298,South East
-4.041588806126983,South West
-4.037104817268882,West Midlands
-4.036596382382448,Yorkshire and The Humber
-4.034804022601242,London
-4.034431931918898,Yorkshire and The Humber
-4.029448231355152,East of England
-4.028325337163936,East of England
-4.026868261787826,East Midlands
-4.026044119615455,East Midlands
-4.0260020463124855,West Midlands
-4.023495850123824,West Midlands
-4.022530641327634,London
-4.019917613421645,North West
-4.017177799925185,North West
-4.014941243530922,East of England
-4.014371200503468,South East
-4.012204422883457,North West
-4.006360364962836,London
-4.0062290130384035,South East
-4.000123192081246,East Midlands
-3.999759172084586,East of England
-3.9996610853851013,West Midlands
-3.997663717139352,North West
-3.9953640389395604,East Midlands
-3.994474057971024,London
-3.992173000639558,East Midlands
-3.991559335206145,North West
-3.9886500438002246,South East
-3.9870424546938565,London
-3.985726330694897,East Midlands
-3.9852868759620206,South East
-3.9841204390797027,London
-3.98350898320873,South East
-3.9834087109876886,South East
-3.9826405427573524,East Midlands
-3.981904245351554,South East
-3.981539051473502,North West
-3.9774188384597937,South East
-3.97584667808175,South West
-3.9756002142527875,North West
-3.975376113489859,South West
-3.9750994412232568,East Midlands
-3.973389746289687,South East
-3.971759008376792,North West
-3.9710837861733412,East Midlands
-3.9705155044486204,South East
-3.9701267992111595,South East
-3.969530047573588,South East
-3.9686419355288063,South East
-3.967273720081307,North West
-3.966644022509563,East Midlands
-3.9660904425393317,London
-3.965049744511093,London
-3.964927561216234,Yorkshire and The Humber
-3.9621428010950464,West Midlands
-3.955202754894984,East Midlands
-3.9495135107694628,North East
-3.946838631975912,South West
-3.9459552605875783,North West
-3.9456257978278746,North West
-3.945211853291133,North West
-3.944046961259239,West Midlands
-3.942549863005971,South West
-3.937710167342524,South East
-3.9373317437210327,East of England
-3.9372400941443804,East of England
-3.9353824052665995,East of England
-3.935268979327352,London
-3.9350026747764986,London
-3.9340932000291953,East Midlands
-3.929577138863168,North West
-3.9289906734118953,Yorkshire and The Humber
-3.926664028903979,West Midlands
-3.926370950039313,East Midlands
-3.9260155035510653,London
-3.9225323468057174,East Midlands
-3.9172509329594667,East of England
-3.9122052540051744,East of England
-3.911758774270077,East Midlands
-3.9045711053649046,East of England
-3.903018790828244,East of England
-3.899801968961898,North West
-3.8993445596768628,Yorkshire and The Humber
-3.899190389580834,South East
-3.8986385200960094,East of England
-3.8978427126017374,North East
-3.8946984778655582,East of England
-3.8945225990963186,South West
-3.8937211845395474,North West
-3.8937097566014094,West Midlands
-3.8918548540216937,West Midlands
-3.891391686116121,West Midlands
-3.8907470547840606,Yorkshire and The Humber
-3.8893310391921116,Yorkshire and The Humber
-3.882458729362426,North West
-3.876140354218551,West Midlands
-3.8732879091670775,West Midlands
-3.8731466891544444,London
-3.8722834148776926,East Midlands
-3.8698681130185717,London
-3.865142801636062,East of England
-3.8625953031890745,South East
-3.8576175352699287,North East
-3.8541587081159463,Yorkshire and The Humber
-3.852388675963951,Yorkshire and The Humber
-3.8519738059720683,London
-3.8509585747043222,London
-3.8432790282932365,London
-3.841518772571953,East Midlands
-3.8364450281451274,London
-3.8338810786600175,East Midlands
-3.833367587244395,North West
-3.8332862304047373,South East
-3.830984011599661,South East
-3.828505804563547,South East
-3.8272123836562764,East Midlands
-3.822137502223298,London
-3.8178371328926035,South West
-3.8177593605956353,London
-3.8173622599834762,North West
-3.815133854020966,South East
-3.812313847662774,North West
-3.8117562915824363,West Midlands
-3.8109449325252758,North West
-3.809777343244043,East of England
-3.798489841521585,West Midlands
-3.7915105648497596,West Midlands
-3.7906832435127966,North West
-3.7861100640086134,North East
-3.7857396925956697,East of England
-3.777069350291048,Yorkshire and The Humber
-3.7723517150505486,East Midlands
-3.769591463343533,Yorkshire and The Humber
-3.7674434998784814,North West
-3.760514141887297,North West
-3.7597260272093145,London
-3.7586840399503094,East Midlands
-3.7558809908453936,Yorkshire and The Humber
-3.7524373982993904,North East
-3.7513982984906766,London
-3.7487318756990673,South East
-3.7460057749629145,North West
-3.7434258570961587,North West
-3.7358480754595496,London
-3.7301270224393503,North West
-3.7241457473111175,North West
-3.7231011434898615,North West
-3.7200591742378033,East Midlands
-3.7194289730218073,North East
-3.7128990901898975,North East
-3.712703937693963,North West
-3.708828344976889,Yorkshire and The Humber
-3.708411711445168,North West
